date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2026-03-07,5.5,2.55,4.25,6,,,,,,,,3.5,,,,,FALSE,FALSE,FALSE,,9081e0a8f6d34mig
2026-03-08,4.25,2,3.25,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2231b05322f94mig
2026-03-09,3.25,1.75,3,6,,,50,60,5,2,,,,,,,FALSE,FALSE,FALSE,,f313f02a93554mig
2026-03-10,7.5,3.5,2.5,4,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b69f2223e5814mig
2026-03-11,6.75,3.25,1.5,2.5,,,,,,,,,,,,,TRUE,FALSE,TRUE,,3cc9534521ed4mig
2026-03-12,4.5,2.75,1,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b9a070cd1d574mig
2026-03-13,5.25,3.25,4.5,6,,,25,3,2,1,,3,,,,,FALSE,FALSE,FALSE,,b2185f088cb44mig
2026-03-14,3.25,2.5,3.25,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1c531b23854d4mig
2026-03-15,2,2,3,3,,,,,,,,3,,,,,FALSE,FALSE,FALSE,,ded09850fe364mig
2026-03-16,4.5,2.25,2.5,2.25,,,50,5,,,,,,,,,FALSE,FALSE,FALSE,,e5f484a620674mig
2026-03-17,3,2,2,6.5,,,,,,,,5.5,,,,,FALSE,FALSE,FALSE,,1baf48d737d14mig
